Company,Valuation($B),Date Joined,Country,Industry,Select Investors
Zhuan Zhuan,$1 ,4/18/2017,China,E-commerce & direct-to-consumer,"58.com, Tencent Holdings"
Zhubajie,$1.61 ,6/16/2015,China,Internet software & services,"Cybernaut Growth Fund, IDG Capital"
Zipline International,$1.20 ,5/20/2019,United States,"Supply chain, logistics, & delivery","Sequoia Capital, Baillie Gifford & Co., Google Ventures"
ZipRecruiter,$1 ,10/4/2018,United States,Artificial intelligence,"Basepoint Ventures,Industry Ventures, and Institutional Venture Partners"
Ziroom,$6.60 ,1/17/2018,China,E-commerce & direct-to-consumer,"Sequoia Capital China, Warburg Pincus, General Catalyst"
ZocDoc,$1.77 ,8/20/2015,United States,Health,"Founders Fund, Khosla Ventures, Goldman Sachs"
Zomato,$3.60 ,4/10/2015,India,Internet software & services,"Sequoia Capital, VY Capital"
Zume,$2.25 ,11/1/2018,United States,Consumer & retail,"Softbank Group, AME Cloud Ventures, SignalFire"
Zuoyebang,$2 ,7/18/2018,China,Edtech,"Sequoia Capital China, Xiang He Capital, GGV Capital"
Zwift,$1 ,9/16/2020,United States,E-commerce & direct-to-consumer,"Novator Partners, True, Causeway Media Partners"
Zymergen,$1.05 ,12/13/2018,United States,Other,"Data Collective, True Ventures, SoftBank Group"
